Pipeline,Classifier,Recall,F2,ROC AUC
Box_Cox_PCA8_Rand_Under,Random Forest,0.781,0.352,0.849
MinMax_PCA8_Rand_Under,Random Forest,0.733,0.309,0.811
Standardize_PCA8_Rand_Under,Random Forest,0.776,0.361,0.851
Robust_Scaler_PCA8_Rand_Under,Random Forest,0.769,0.34,0.839
None_PCA8_SMOTE,Random Forest,0.412,0.354,0.842
Yeo_Johnson_PCA8_SMOTE,Random Forest,0.373,0.331,0.84
Box_Cox_PCA8_SMOTE,Random Forest,0.382,0.339,0.837
MinMax_PCA8_SMOTE,Random Forest,0.293,0.265,0.797
Standardize_PCA8_SMOTE,Random Forest,0.401,0.354,0.84
Robust_Scaler_PCA8_SMOTE,Random Forest,0.385,0.325,0.825
None_PCA8_SMOTE_Under,Random Forest,0.414,0.357,0.842
Yeo_Johnson_PCA8_SMOTE_Under,Random Forest,0.374,0.331,0.839
Box_Cox_PCA8_SMOTE_Under,Random Forest,0.378,0.336,0.839
MinMax_PCA8_SMOTE_Under,Random Forest,0.3,0.271,0.797
Standardize_PCA8_SMOTE_Under,Random Forest,0.396,0.349,0.839
Robust_Scaler_PCA8_SMOTE_Under,Random Forest,0.38,0.322,0.824
